run_id,livello,tbt,height,epoca,host,tipo_controllo,severita,descrizione,valore_atteso,valore_osservato,riferimento_riga_sorgente
run6-tbt-10s/continentale,continentale,10,206,2,m1,peso_non_ricalcolabile,[P],"il peso pubblicato non e' riprodotto dal ricalcolo indipendente dagli input pubblici dell'epoca. Severita' [P] quando il verificatore interno (weightverifyweights) dichiara comunque validi i record: in quel caso a divergere e' il modello di attribuzione dell'altezza usato qui, non il peso sulla catena",776522,785078,"peso_riconciliazione.csv (epoca 2, m1)"
run6-tbt-10s/continentale,continentale,10,306,3,m1,peso_non_ricalcolabile,[P],"il peso pubblicato non e' riprodotto dal ricalcolo indipendente dagli input pubblici dell'epoca. Severita' [P] quando il verificatore interno (weightverifyweights) dichiara comunque validi i record: in quel caso a divergere e' il modello di attribuzione dell'altezza usato qui, non il peso sulla catena",814908,823464,"peso_riconciliazione.csv (epoca 3, m1)"
run6-tbt-10s/continentale,continentale,10,306,3,m2,peso_non_ricalcolabile,[P],"il peso pubblicato non e' riprodotto dal ricalcolo indipendente dagli input pubblici dell'epoca. Severita' [P] quando il verificatore interno (weightverifyweights) dichiara comunque validi i record: in quel caso a divergere e' il modello di attribuzione dell'altezza usato qui, non il peso sulla catena",265846,268877,"peso_riconciliazione.csv (epoca 3, m2)"
run6-tbt-10s/continentale,continentale,10,406,4,m1,peso_non_ricalcolabile,[P],"il peso pubblicato non e' riprodotto dal ricalcolo indipendente dagli input pubblici dell'epoca. Severita' [P] quando il verificatore interno (weightverifyweights) dichiara comunque validi i record: in quel caso a divergere e' il modello di attribuzione dell'altezza usato qui, non il peso sulla catena",811913,820469,"peso_riconciliazione.csv (epoca 4, m1)"
run6-tbt-10s/continentale,continentale,10,506,5,m1,peso_non_ricalcolabile,[P],"il peso pubblicato non e' riprodotto dal ricalcolo indipendente dagli input pubblici dell'epoca. Severita' [P] quando il verificatore interno (weightverifyweights) dichiara comunque validi i record: in quel caso a divergere e' il modello di attribuzione dell'altezza usato qui, non il peso sulla catena",831106,839662,"peso_riconciliazione.csv (epoca 5, m1)"
run6-tbt-10s/continentale,continentale,10,506,5,m2,peso_non_ricalcolabile,[P],"il peso pubblicato non e' riprodotto dal ricalcolo indipendente dagli input pubblici dell'epoca. Severita' [P] quando il verificatore interno (weightverifyweights) dichiara comunque validi i record: in quel caso a divergere e' il modello di attribuzione dell'altezza usato qui, non il peso sulla catena",321509,324155,"peso_riconciliazione.csv (epoca 5, m2)"
run6-tbt-10s/continentale,continentale,10,,,,altro,[I],"8 record di adesione entrano in tau come attivita' confermata, oltre alle pubblicazioni di filiera: e' corretto (sono transazioni in un blocco) ma va tenuto presente leggendo tau come 'traffico'",n/d,8,membership_events.csv
run6-tbt-10s/continentale,continentale,10,,,,altro,[I],"nessun record sul registro dei malus: le Def. 5.17-5.24 (quattro tipi di violazione, decadimento reversibile) non sono esercitate da questa run, e Psi vale 1 in ogni epoca",n/d,0,malus.json
run6-tbt-10s/continentale,continentale,10,,,,altro,[I],"dump-function = none: lo smorzamento anti-whale (Def. 5.9) e' inerte, quindi peso_efficace_epoca coincide con peso_dopo_malus per costruzione",n/d,none,params.dat
run6-tbt-10s/continentale,continentale,10,,,,altro,[I],3 righe (epoca x host) con attesa minima sotto 5: il chi-quadro per epoca non ha campione sufficiente e va letto solo insieme a quello a finestra scorrevole,>= 5,< 5,peso_riconciliazione.csv
