run_id,livello,tbt,height,height_conferma,epoca,tipo,nodo_mittente,indirizzo_mittente,nodo_destinatario,indirizzo_destinatario,importo_gas,saldo_mittente_dopo,fonte_saldo_mittente,saldo_destinatario_dopo,fonte_saldo_destinatario,note,saldo_mittente_prima
run5-tbt-2s/continentale,continentale,2,28,,3,init,admin,,c1,1F7CcdA7br3pXc2HaB2YVgbB9XpcVbNzQhEWKx,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.804,campione a height=159,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,28,,3,init,admin,,c2,1YTNMyxofokiBQ3rq8h7jTXxWt2FAPxuRdZTtp,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.804,campione a height=159,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,28,,3,init,admin,,c3,1RG2YWrbXGu1xVxqFQMN5ZG6B2FmRnYADiXkCh,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8044,campione a height=159,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,28,,3,init,admin,,c4,1Qvk2bYgt1UFxC5BNrR54Jb9a9ywekBworktZ1,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.804,campione a height=159,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,28,,3,init,admin,,c5,1R7uw5tCbpBLCzbmLC8spDHyWDESce4aZ5Crj5,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8046,campione a height=159,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,28,,3,init,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.3508,campione a height=159,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,28,,3,init,admin,,m2,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),20.996,campione a height=159,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,28,,3,init,admin,,m3,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),40.0369,campione a height=159,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,28,,3,init,admin,,ca,,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),49.3568,campione a height=159,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,159,,14,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.3508,campione a height=159,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,175,,15,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.0929,campione a height=175,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,175,,15,refill,admin,,m2,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),9.4772,campione a height=175,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,189,,16,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.784,campione a height=189,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,202,,17,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.3662,campione a height=202,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,202,,17,refill,admin,,m2,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),19.0825,campione a height=202,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,214,,18,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.5956,campione a height=214,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,214,,18,refill,admin,,m3,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),17.5714,campione a height=214,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,225,,19,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),8.0437,campione a height=225,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,236,,20,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),8.1436,campione a height=236,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,236,,20,refill,admin,,m2,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),9.2834,campione a height=236,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,249,,21,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.8927,campione a height=249,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,260,,22,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.3451,campione a height=260,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,260,,22,refill,admin,,m2,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),19.4546,campione a height=260,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,271,,23,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.7476,campione a height=271,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,282,,24,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.5308,campione a height=282,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,294,,25,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.1187,campione a height=294,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,294,,25,refill,admin,,m2,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),10.0469,campione a height=294,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,305,,26,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.3679,campione a height=305,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,315,,27,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),6.9875,campione a height=315,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,315,,27,refill,admin,,m2,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),19.414,campione a height=315,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,315,,27,refill,admin,,m3,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),17.2897,campione a height=315,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,327,,28,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.5044,campione a height=327,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,341,,29,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.4441,campione a height=341,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,352,,30,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.9007,campione a height=352,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,352,,30,refill,admin,,m2,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),9.1839,campione a height=352,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,364,,31,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.4785,campione a height=364,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run5-tbt-2s/continentale,continentale,2,375,,32,refill,admin,,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.5619,campione a height=375,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
