run_id,livello,tbt,height,height_conferma,epoca,tipo,nodo_mittente,indirizzo_mittente,nodo_destinatario,indirizzo_destinatario,importo_gas,saldo_mittente_dopo,fonte_saldo_mittente,saldo_destinatario_dopo,fonte_saldo_destinatario,note,saldo_mittente_prima
run6-tbt-10s/continentale,continentale,10,6,,1,init,admin,,c1,16iaz4Uim5owvE631oHWsTgzabtsFzyNPS3ynM,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/continentale,continentale,10,6,,1,init,admin,,c2,1BLQQ5iSr3KoQY1MuGVWoNbDL52x6tWbZ51Uwm,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8046,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/continentale,continentale,10,6,,1,init,admin,,c3,19TjCe4L6fWTJAB4mK8JkE6V1uu4zAbYy1sJME,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/continentale,continentale,10,6,,1,init,admin,,c4,1DpyDXZoL6ruTFHoYwjwxpRZcawujgWo79bYkN,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/continentale,continentale,10,6,,1,init,admin,,c5,1JiovS1Zk7PuYaUhmrKjAgUYZb8uPYmGFu48TU,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8044,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/continentale,continentale,10,6,,1,init,admin,,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.3493,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/continentale,continentale,10,6,,1,init,admin,,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),21.1108,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/continentale,continentale,10,6,,1,init,admin,,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),41.4892,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/continentale,continentale,10,6,,1,init,admin,,ca,,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),49.3564,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/continentale,continentale,10,34,,1,refill,admin,,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.3493,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
