run_id,livello,tbt,height,height_conferma,epoca,tipo,nodo_mittente,indirizzo_mittente,nodo_destinatario,indirizzo_destinatario,importo_gas,saldo_mittente_dopo,fonte_saldo_mittente,saldo_destinatario_dopo,fonte_saldo_destinatario,note,saldo_mittente_prima
run6-tbt-10s/regionale,regionale,10,6,,1,init,admin,,c1,1FxDCdZVGpjWm6uLbNob2iCQ9yxw6DRxBSm9XK,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,6,,1,init,admin,,c2,12tZ2Db4FqKa8tWj5kCSyLayPn2wZgFqbmAA15,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,6,,1,init,admin,,c3,1T4QPhG3W19X6RG7JSCSWUBEWNcDbX5P7TSXm6,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,6,,1,init,admin,,c4,1HSsgRzT3u8K12Vu3Exb4rfR3ftqbn2i14Qd81,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,6,,1,init,admin,,c5,1WKAvTs1PuLWWhbs81FEoWMauujvaJsfcdCK19,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.804,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,6,,1,init,admin,,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.4259,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,6,,1,init,admin,,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),21.1107,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,6,,1,init,admin,,m3,1TxbTqvswKsuDDV5Yn8biA1UVPNko7mhCHbU88,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),40.2662,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,6,,1,init,admin,,ca,,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),49.3568,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,34,,1,refill,admin,,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.4259,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,103,,2,refill,admin,,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.0968,campione a height=103,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,103,,2,refill,admin,,m2,1LC9SkHzxLmLLFfkwQEj9rh3sam26QwqQtCo9N,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),10.9716,campione a height=103,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,202,,3,refill,admin,,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),9.3987,campione a height=202,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run6-tbt-10s/regionale,regionale,10,302,,4,refill,admin,,m1,1FFo3ah8sAKS4svacrTuQgQBUPEKrjop9rucCp,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),8.5011,campione a height=302,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
