run_id,livello,tbt,height,epoca,nodo,indirizzo,tipo_movimento,importo_gas,controparte,motivo,saldo_gas_dopo,txid_o_riferimento,coerente_con_saldo
run5-tbt-2s/regionale,regionale,2,1,1,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,mining_reward,1000000.0,coinbase,"premio di catena del blocco 1, ricostruito da params.dat (nessuna metrica lo registra)",1000000.0,005ed98f6e17a205156d93199ee960a5b43e2a51b85de81c2dffd2ddb643f1e0,1
run5-tbt-2s/regionale,regionale,2,28,3,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,init,-100.0,c1,l'admin finanzia c1,999900.0,,1
run5-tbt-2s/regionale,regionale,2,28,3,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,init,-100.0,c2,l'admin finanzia c2,999800.0,,1
run5-tbt-2s/regionale,regionale,2,28,3,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,init,-100.0,c3,l'admin finanzia c3,999700.0,,1
run5-tbt-2s/regionale,regionale,2,28,3,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,init,-100.0,c4,l'admin finanzia c4,999600.0,,1
run5-tbt-2s/regionale,regionale,2,28,3,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,init,-100.0,c5,l'admin finanzia c5,999500.0,,1
run5-tbt-2s/regionale,regionale,2,28,3,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,init,-50.0,m1,l'admin finanzia m1,999450.0,,1
run5-tbt-2s/regionale,regionale,2,28,3,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,init,-50.0,m2,l'admin finanzia m2,999400.0,,1
run5-tbt-2s/regionale,regionale,2,28,3,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,init,-50.0,m3,l'admin finanzia m3,999350.0,,1
run5-tbt-2s/regionale,regionale,2,28,3,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,init,-50.0,ca,l'admin finanzia ca,999300.0,,1
run5-tbt-2s/regionale,regionale,2,160,14,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,refill,-100.0,m1,l'admin finanzia m1,999200.0,,1
run5-tbt-2s/regionale,regionale,2,174,15,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,refill,-100.0,m1,l'admin finanzia m1,999100.0,,1
run5-tbt-2s/regionale,regionale,2,174,15,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,refill,-100.0,m2,l'admin finanzia m2,999000.0,,1
run5-tbt-2s/regionale,regionale,2,188,16,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,refill,-100.0,m1,l'admin finanzia m1,998900.0,,1
run5-tbt-2s/regionale,regionale,2,201,17,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,refill,-100.0,m1,l'admin finanzia m1,998800.0,,1
run5-tbt-2s/regionale,regionale,2,201,17,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,refill,-100.0,m2,l'admin finanzia m2,998700.0,,1
run5-tbt-2s/regionale,regionale,2,213,18,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,refill,-100.0,m1,l'admin finanzia m1,998600.0,,1
run5-tbt-2s/regionale,regionale,2,213,18,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,refill,-100.0,m3,l'admin finanzia m3,998500.0,,1
run5-tbt-2s/regionale,regionale,2,224,19,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,refill,-100.0,m1,l'admin finanzia m1,998400.0,,1
run5-tbt-2s/regionale,regionale,2,235,20,admin,1U8zL6L6hPA1kSBWXC8FHE4uxB5veb5CjkxMqL,refill,-100.0,m1,l'admin finanzia m1,998300.0,,1
