experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,topic,note
run1-tbt-15s,intercontinentale,1,15,none,true,phase separation,"phase 1 = raw rows traceable to log lines / txids; phase 2 = deterministic recomputation; phase 3 (this file) = the only place with tests, intervals and Monte Carlo"
run1-tbt-15s,intercontinentale,1,15,none,true,model check,"delay recomputed from the logged score with the in-force weight map, W_tot and Phi reproduces the logged delay within 0.0015 s on every candidate row except those listed in phase2 manifest summary.rounds_delay_mismatch (weight-map view divergence at a confirm height)"
run1-tbt-15s,intercontinentale,1,15,none,true,Wilson,95%% Wilson score intervals for every proportion; no normal approximation of p_hat
run1-tbt-15s,intercontinentale,1,15,none,true,GoF,chi-square asymptotic only when min E_i >= 5; otherwise exact multinomial by enumeration (<= 3 classes) or Monte Carlo (N=20000); gof_method is always declared; a round-by-round Monte Carlo respecting per-round shares is reported alongside
run1-tbt-15s,intercontinentale,1,15,none,true,"Beta(1,n)","KS of G against 2*Dmax*Beta(1,n) tests the iid-uniform approximation of Prop. 5.18, which the thesis itself declares invalid for concentrated weights (D11); the KS against the exact Monte Carlo of the implemented sortition (same weights, W_tot, Phi) is the reference test"
run1-tbt-15s,intercontinentale,1,15,none,true,Prop. 5.17,score(2)-score(1) given argmin i* is Exp(W - w_i*); gaps are standardised by the rate of their round and tested against Exp(1)
run1-tbt-15s,intercontinentale,1,15,none,true,sigma,"S1_topology = 0.0457 (max one-way shortest-path latency between miners from the .gml (rtt/2)); S2_scheduler_residual_sd = 0.825 (PRIMARY estimate for the Prop. 5.18 bound); S2b_inversion_gap = 0.2623 (reported for comparison, not used in the bound); S3_packet_loss =  (not computable: packet loss is not observable from the archived logs (1 s resolution, no per-message trace))"
run1-tbt-15s,intercontinentale,1,15,none,true,inversion bound,the bound of Prop. 5.18 is evaluated with sigma_S2 (primary) and sigma_S1; the observed rate is compared with both and with a Gaussian-noise Monte Carlo at sigma_S2
run1-tbt-15s,intercontinentale,1,15,none,true,epoch and in-force weight,"epoch(h) = h // L + 1 (weight_engine.h, one function shared by both modules); a weight record confirmed at height h_c is in force for blocks h > h_c; the expected share of an epoch is the block-weighted mean of the in-force shares, never the weight stamped with that epoch"
run1-tbt-15s,intercontinentale,1,15,none,true,Theta,"theta_code = sum of tau over the companies in clusters (WeightEngine::NetworkActivity, D1); theta_thesis = all non-coinbase transactions of the epoch's blocks (Def. 6.6); both reported, the fold uses theta_code"
run1-tbt-15s,intercontinentale,1,15,none,true,integer weight,"the on-chain weight is round-half-away(w_k * kappa) clamped >= 1 (ToIntegerWeight, D2); recompute_match compares that integer"
run1-tbt-15s,intercontinentale,1,15,none,true,malus points,p(selfwrite) and p(badweight) are '[null]' in params.dat; the start-up line of the node declares 1 and 2 (D4)
run1-tbt-15s,intercontinentale,1,15,none,true,not computable on this campaign,"dump-function effect (none everywhere); malus trajectory and Delay-event recomputation (registry empty); VRF output y_i (not logged); per-event network latency and jitter (1 s log resolution, jitter 0 us); packet loss"
run1-tbt-15s,intercontinentale,1,15,none,true,replication,"replication_id = 1 everywhere: single seed per run, no replicas"
run1-tbt-15s,intercontinentale,1,15,none,true,algorithm-level test,"tools/valida_sortition_montecarlo.py (standalone Monte Carlo of Algorithm 1) is run at campaign level and copied to campaign/sortition_algorithm_validation.csv; it is a test of the formula, not of the C++ binary"
run1-tbt-15s,intercontinentale,1,15,none,true,constants,alpha = 0.05; MC GoF/KS N = 20000; MC streak N = 10000; RNG seed = 20260905
