parameter,value,source,thesis_symbol,note
experiment_id,run5-tbt-2s,directory name,,the sealed configuration; tbt confirmed by params.dat
area,intercontinentale,directory name,geographic level,
replication_id,1,campaign design,,no replicas in the archived campaign: single seed
chain-name,poesiaintercontinentale,params.dat (admin),,
target-block-time,2,params.dat (admin),T_block,
setup-first-blocks,200,params.dat (admin),setup blocks,
mining-diversity,0.0,params.dat (admin),spacing (mining-diversity),
mining-turnover,0.5,params.dat (admin),mining-turnover,
weight-epoch-length,12,params.dat (admin),L,
weight-kappa,100,params.dat (admin),kappa,
weight-alpha,0.2,params.dat (admin),alpha,
weight-lambda,0.5,params.dat (admin),lambda_w,
wpoa-sortition-delta,0.5,params.dat (admin),delta,
wpoa-sortition-lambda,0.2,params.dat (admin),lambda (delay feedback),
wpoa-randao-lookback,1,params.dat (admin),k (RANDAO),
dump-function,none,params.dat (admin),g(.),
enable-wpoa,true,params.dat (admin),,
enable-wpoa-selection,true,params.dat (admin),,
enable-wpoa-sortition,true,params.dat (admin),,
enable-wpoa-malus,true,params.dat (admin),malus on/off,
enable-weight-engine,true,params.dat (admin),,
minimum-relay-fee,20000000,params.dat (admin),relay fee,
first-block-reward,100000000000000,params.dat (admin),first block reward,
weight-treasury-address,18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,params.dat (admin),treasury,
wpoa-malus-mu,0.5,params.dat (admin),mu,
wpoa-malus-max,4,params.dat (admin),M_max,
wpoa-malus-equiv-points,4,params.dat (admin),p(Equiv),
wpoa-malus-delay-points,0.25,params.dat (admin),p(Delay),
wpoa-malus-selfwrite-points,[null],params.dat (admin),p(SelfWrite),
wpoa-malus-badweight-points,[null],params.dat (admin),p(BadWeight),
native-currency-multiple,100000000.0,params.dat (admin),GAS raw units,
initial-block-reward,0,params.dat (admin),block reward,
wpoa-sortition-delta (startup),0.5,debug.log start-up line,delta,
wpoa-sortition-lambda (startup),0.2,debug.log start-up line,lambda (delay feedback),
dump-function (startup),none,debug.log start-up line,g(.),
wpoa-randao-lookback (startup),1,debug.log start-up line,k (RANDAO),
wpoa-malus-mu (startup),0.5,debug.log start-up line,mu,
wpoa-malus-max (startup),4,debug.log start-up line,M_max,
wpoa-malus-equiv-points (startup),4,debug.log start-up line,p(Equiv),
wpoa-malus-delay-points (startup),0.25,debug.log start-up line,p(Delay),
wpoa-malus-selfwrite-points (startup),1,debug.log start-up line,p(SelfWrite),params.dat has '[null]': the start-up line is the effective value (D4)
wpoa-malus-badweight-points (startup),2,debug.log start-up line,p(BadWeight),params.dat has '[null]': the start-up line is the effective value (D4)
weight-epoch-length (startup),12,debug.log start-up line,L,
weight-kappa (startup),100,debug.log start-up line,kappa,
weight-alpha (startup),0.2,debug.log start-up line,alpha,
weight-lambda (startup),0.5,debug.log start-up line,lambda_w,
weight-treasury-address (startup),18QrmhtdHAfw8gknT5hxBStfGY63AhuQZCSDcg,debug.log start-up line,treasury,
setupblocks (getinfo),200,admin_getinfo.json,setup blocks,
chainname,poesiaintercontinentale,admin_getinfo.json,,
protocolversion,20014,admin_getinfo.json,,
final_height,655,metrics/final_height.txt,run length,
shadow_general_seed,60827,shadow.yaml general.seed,,
poesia_rng_seed,20260827,shadow.yaml env POESIA_RNG_SEED,,
poesia_epochlen,12,shadow.yaml env POESIA_EPOCHLEN,,
topology_gml,/home/mattu/multichain/shadow/intercontinentale/topologia_myledger_intercontinentale.gml,shadow.yaml network.graph.file.path,,
topology_level_json,/home/mattu/multichain/shadow/config/levels/intercontinentale.json,config/levels,,
rtt_max_between_miners_ms,91.5,shortest path on the .gml (deterministic; jitter 0 us),,
rtt_max_all_hosts_ms,112.006,shortest path on the .gml (deterministic; jitter 0 us),,
stability_margin_blocks,6,C++ constant MC_WEIGHT_DEFAULT_STABILITY_MARGIN,,
